;Station;lat;long;entidad;FreqInf;Observ;RASTERVALU;RegsNat;RP_ACP;LimInfRP
134;21205516;5.17269444;-73.85177778;CAR;10T;10T hasta 2024-02-21, r 144802, luego :10, :20 y H;2917;Andina;15;6.64329611
135;21205517;4.78815722;-74.05005889;CAR;10T;;2556;Andina;15;6.64329611
136;21205518;5.17136111;-74.01566667;CAR;10T;;3276;Andina;15;6.64329611
137;21205519;4.45211111;-74.27228806;CAR;10T;;2838;Andina;15;6.64329611
138;21205521;4.73780972;-73.93579389;CAR;10T;;2997;Andina;15;6.64329611
139;21205522;4.91832167;-74.02864944;CAR;10T;;2559;Andina;15;6.64329611
140;21205523;4.78815722;-74.05005889;CAR;10T;;2556;Andina;15;6.64329611
141;21205524;5.07475;-74.05747222;CAR;10T;;3047;Andina;15;6.64329611
142;21205525;5.22880556;-73.58475;CAR;10T;;2834;Andina;15;6.64329611
143;21205526;4.69052778;-74.38905556;CAR;10T;;2079;Andina;15;6.64329611
144;21205527;5.19794444;-73.80466667;CAR;10T;;2972;Andina;15;6.64329611
145;21205660;4.5791;-74.52318;IDEAM;H;;770;Andina;15;6.64329611
146;21205670;4.770888889;-74.43763889;IDEAM;H;;1847;Andina;15;6.64329611
147;21205710;4.669333333;-74.10266667;IDEAM;H;;2554;Andina;15;6.64329611
148;21205791;4.705583333;-74.15066667;IDEAM;H;;2549;Andina;15;6.64329611
149;21205910;4.98922;-74.00119;IDEAM;H;;2559;Andina;15;6.64329611
150;21205940;4.83211;-74.38056;IDEAM;H;;2594;Andina;15;6.64329611
151;21205970;5.0905;-73.88125;IDEAM;H;;2568;Andina;15;6.64329611
152;21206280;4.64823;-74.32035;IDEAM;H;;2688;Andina;15;6.64329611
153;21206560;4.661111111;-74.13477778;IDEAM;H;;2547;Andina;15;6.64329611
154;21206600;4.782222222;-74.09433333;IDEAM;H;;2552;Andina;15;6.64329611
155;21206780;4.619272;-74.194594;FOPAE;5T;Mezclado 10T;2545;Andina;15;6.64329611
156;21206790;5.0905;-73.88125;IDEAM;H;;2568;Andina;15;6.64329611
157;21206810;4.56365303;-74.13845;EST_PART;5T;Mezclado 10T;2558;Andina;15;6.64329611
158;21206890;4.66577;-74.02861;FOPAE;5T;Mezclado 10T;3211;Andina;15;6.64329611
159;21206900;4.44914;-74.10792;FOPAE;5T;Mezclado 10T;3166;Andina;12;10.59585194
160;21206920;4.35;-74.15;IDEAM;H;;3399;Andina;12;10.59585194
161;21206930;5.08644;-74.02217;IDEAM;H;;3235;Andina;15;6.64329611
162;21206940;4.576861111;-74.17677778;IDEAM;H;;2814;Andina;15;6.64329611
163;21206950;5.236055556;-73.52508333;IDEAM;H;;3268;Andina;15;6.64329611
164;21206960;4.6;-74.06666667;IDEAM;H;;2653;Andina;15;6.64329611
165;21206980;4.784277778;-73.87080556;IDEAM;H;;3174;Andina;15;6.64329611
166;21206990;4.68863;-74.20559;IDEAM;H;;2540;Andina;15;6.64329611
167;21208480;4.61104201;-74.178333;EAAB;5T;Mezclado 10T;2550;Andina;15;6.64329611
168;21209940;4.53333333;-74.11666667;FOPAE;5T;Mezclado 10T;2587;Andina;12;10.59585194
169;21215150;4.670777778;-75.32777778;IDEAM;H;;4483;Andina;18;12.47396368
170;21215160;4.470361111;-75.24386111;IDEAM;H;;1695;Andina;18;12.47396368
171;21215170;4.402;-75.22905556;IDEAM;H;;1757;Andina;18;12.47396368
172;21215180;4.418388889;-75.24866667;IDEAM;H;;1276;Andina;18;12.47396368
173;21215190;4.435666667;-75.50036111;IDEAM;H;;2499;Andina;18;12.47396368
174;21215501;4.45;-75.25;CENICAFE;5T;;1303;Andina;18;12.47396368
175;21235030;4.305333333;-74.80811111;IDEAM;H;;296;Andina;15;6.64329611
176;21237020;5.202416667;-74.72761111;IDEAM;10T;2 valores;215;Andina;15;6.64329611
177;21237060;4.63333333;-74.65;CAR;10T;;457;Andina;15;6.64329611
178;21255090;5;-74.89999167;IDEAM;H;;284;Andina;14;14.37691386
179;21255160;4.760722222;-74.83425;IDEAM;H;;236;Andina;14;14.37691386
180;21255170;4.870555556;-75.17327778;IDEAM;H;;2995;Andina;14;14.37691386
181;21255501;4.895;-75.04;CENICAFE;5T;;1406;Andina;14;14.37691386
182;22020020;3.045055556;-75.76177778;IDEAM;H;;1760;Andina;19;9.770656205
183;22025040;2.98;-76.06;IDEAM;H;;3956;Andina;19;9.770656205
184;22025501;3.41666667;-75.63305556;CENICAFE;5T;;1235;Andina;19;9.770656205
185;22045010;3.722444444;-75.50344444;IDEAM;H;;895;Andina;18;12.47396368
186;22045502;3.95;-75.66666667;CENICAFE;5T;;3504;Andina;18;12.47396368
187;22055020;3.455777778;-75.53636111;IDEAM;H;;670;Andina;19;9.770656205
188;22065040;3.906916667;-75.48808333;IDEAM;H;;1419;Andina;18;12.47396368
189;22070030;4.124555556;-75.49952778;IDEAM;H;;2577;Andina;18;12.47396368
190;22075050;4.075805556;-75.70083333;IDEAM;H;;3361;Andina;18;12.47396368
191;23015501;5.15563889;-75.00313611;CENICAFE;5T;;1250;Andina;14;14.37691386
192;23020080;5.265611111;-75.14408333;IDEAM;H;;1962;Andina;14;14.37691386
193;23025040;5.301108889;-74.91458056;IDEAM;H;;755;Andina;14;14.37691386
194;23025501;5.16391389;-75.11740833;CENICAFE;5T;;1422;Andina;14;14.37691386
195;23025502;5.04499722;-75.33221944;CENICAFE;5T;;3680;Andina;14;14.37691386
196;23035030;5.492861111;-74.658;IDEAM;H;;167;Andina;14;14.37691386
197;23055501;5.31749722;-74.99610833;CENICAFE;5T;;1409;Andina;14;14.37691386
198;23055502;5.38333333;-75.06638889;CENICAFE;5T;;1612;Andina;14;14.37691386
199;23065110;5.48121;-74.35125;IDEAM;H;;1350;Andina;15;6.64329611
200;23065120;5.141555556;-74.13936111;IDEAM;H;;1901;Andina;15;6.64329611
201;23065160;5.01666667;-74.33333333;CAR;10T;;1104;Andina;15;6.64329611
202;23065180;5.016861111;-74.47097222;IDEAM;H;;843;Andina;15;6.64329611
203;23065190;5.137611111;-74.48125;IDEAM;H;;1075;Andina;15;6.64329611
204;23065501;5.12912778;-74.15769722;CENICAFE;5T;;1809;Andina;15;6.64329611
205;23065502;5.33026667;-74.40156111;CENICAFE;5T;;1484;Andina;15;6.64329611
206;23065503;4.95;-74.4;CENICAFE;5T;;1454;Andina;15;6.64329611
207;23065504;4.87188889;-74.5725;CAR;H;;1544;Andina;15;6.64329611
208;23065505;5.34038889;-74.49516667;CAR;H;;1295;Andina;15;6.64329611
209;23065506;4.86139056;-74.40507944;CAR;10T;;2758;Andina;15;6.64329611
210;23065507;5.12380556;-74.54361111;CAR;10T;10T hasta 2019, luego H;1484;Andina;15;6.64329611
211;23067020;5.4695;-74.59338889;IDEAM;T;Últimos datos H;297;Andina;15;6.64329611
212;23085080;6.483583333;-74.83669444;IDEAM;H;;828;Andina;11;7.150661486
213;23085260;6.131916667;-75.41455556;IDEAM;H;;2119;Andina;11;7.150661486
214;23085270;6.1686111;-75.42611111;IDEAM;H;;2129;Andina;11;7.150661486
215;23085501;6.06194167;-75.18666667;CENICAFE;5T;;1354;Andina;11;7.150661486
216;23097030;6.485138889;-74.40116667;IDEAM;H;1 valor;101;Andina;11;7.150661486
217;23105060;6.774111111;-74.79652778;IDEAM;H;;981;Andina;6;15.46150028
218;23105070;6.571638889;-74.79472222;IDEAM;H;;1106;Andina;11;7.150661486
219;23115010;5.978333333;-74.56666667;IDEAM;H;;141;Andina;11;7.150661486
220;23125140;5.520833333;-74.18241667;IDEAM;H;;1222;Andina;15;6.64329611
221;23125160;5.647027778;-74.07130556;IDEAM;H;;708;Andina;15;6.64329611
222;23125170;5.333333333;-74.01666667;IDEAM;H;;2789;Andina;15;6.64329611
223;23125501;5.65713056;-73.96032778;CENICAFE;5T;;1386;Andina;15;6.64329611
224;23155030;7.026388889;-73.80861111;IDEAM;H;;124;Andina;11;7.150661486
225;23180070;7.39;-73.48944444;IDEAM;H;;152;Andina;7;11.59431877
226;23190130;7.196111111;-72.97055556;IDEAM;H;;1799;Andina;7;11.59431877
227;23190700;6.99333;-73.06778;IDEAM;H;;965;Andina;7;11.59431877
228;23195040;7.144722222;-73.12222222;IDEAM;H;;891;Andina;7;11.59431877
229;23195090;7.36583;-72.9875;IDEAM;H;;1784;Andina;7;11.59431877
230;23195110;7.025555556;-73.16722222;IDEAM;H;;738;Andina;7;11.59431877
231;23195190;7.099527778;-73.06619444;IDEAM;H;;1530;Andina;7;11.59431877
232;23195200;7.47389;-72.99111;IDEAM;H;;1908;Andina;7;11.59431877
233;23195230;7.099997222;-73.11;IDEAM;H;;897;Andina;7;11.59431877
234;23195240;8.123416667;-73.57986111;IDEAM;H;;93;Andina;7;11.59431877
235;23195501;7.09944167;-73.06638611;CENICAFE;5T;;1531;Andina;7;11.59431877
236;23195502;7.121472222;-73.18452778;IDEAM;H;;1163;Andina;7;11.59431877
237;23205050;7.885416667;-74.24097222;IDEAM;H;;1055;Andina;6;15.46150028
238;24010390;5.30530556;-73.61930556;CAR;H;;2822;Andina;15;6.64329611
239;24015110;5.303805556;-73.85175;IDEAM;H;;2622;Andina;15;6.64329611
240;24015300;5.64326;-73.51774;IDEAM;H;;2170;Andina;11;7.150661486
241;24015340;5.28333333;-73.9;CAR;H;;2924;Andina;15;6.64329611
242;24015380;5.34819;-73.89817;IDEAM;H;;2957;Andina;15;6.64329611
243;24015501;5.88277778;-73.57333056;CENICAFE;5T;;1681;Andina;11;7.150661486
