CodEstacion,fecha_inicial,fecha_final
35080050,2021-11-07 00:01:10,2024-04-20 20:00:00
35095110,2022-02-22 14:00:00,2022-09-26 00:00:00
35095120,2005-04-16 12:00:00,2023-03-16 19:00:00
35095130,2015-07-08 01:00:00,2024-07-01 04:00:00
35105050,2018-04-10 15:00:00,2023-03-16 16:00:00
35165000,2017-02-21 12:00:00,2024-07-01 04:00:00
35185010,2005-08-23 18:00:00,2023-03-17 04:00:00
35195020,2021-11-07 01:02:00,2024-04-23 00:00:00
35195050,2023-02-03 11:00:00,2023-11-14 08:00:00
35195060,2017-08-19 11:00:07,2024-07-01 04:00:00
35215020,2007-04-18 12:00:00,2024-06-30 23:00:00
35215030,2017-08-19 11:00:07,2021-03-22 09:00:00
35225030,2017-08-19 11:00:07,2024-07-01 04:00:00
35235010,2019-04-02 15:00:00,2024-07-01 04:00:00
35235040,2017-10-30 16:00:07,2023-02-03 18:00:00
35235050,2017-08-19 13:00:07,2024-07-01 04:00:00
35237040,2017-08-19 11:00:07,2017-08-28 14:00:07
35260050,2021-02-18 12:00:00,2023-07-24 16:00:00
36015020,2005-10-14 19:00:00,2023-03-17 04:00:00
37015030,2005-01-01 20:00:00,2023-03-17 00:00:00
37045010,2018-03-19 14:00:00,2021-09-27 07:00:00
42077020,2016-11-28 14:00:00,2021-05-12 08:00:00
44015060,2006-06-24 11:00:00,2023-10-24 07:00:00
44035050,2005-07-02 00:00:00,2023-03-17 04:00:00
44045030,2024-01-06 19:00:00,2024-02-11 12:00:00
44055010,2021-09-07 07:00:00,2024-07-01 04:00:00
44197020,2017-06-13 13:00:00,2018-03-24 12:00:00
46015030,2009-03-01 11:38:00,2021-05-30 17:00:00
46035010,2017-10-15 17:00:00,2022-03-09 16:00:00
47015100,2017-04-22 15:00:00,2023-03-17 04:00:00
47035030,2007-08-21 09:00:00,2013-01-29 02:00:00
48015010,2014-07-31 20:00:00,2018-10-11 14:00:00
48015040,2007-05-18 16:00:00,2023-08-09 01:00:00
48015050,2018-10-11 17:00:00,2024-07-01 04:00:00
51025060,2005-11-26 01:00:00,2019-10-06 17:00:00
51025080,2017-10-27 13:00:00,2022-10-28 12:00:00
51025090,2016-07-29 01:00:00,2023-11-24 07:00:00
51035020,2017-10-28 14:00:00,2023-03-17 04:00:00
52020070,2019-03-31 07:00:00,2020-10-29 08:00:00
52040050,2017-04-26 17:00:00,2023-01-09 23:00:00
52045080,2005-05-11 22:00:00,2023-03-17 04:00:00
52050060,2020-07-14 15:00:00,2024-07-01 04:00:00
52050080,2020-07-03 17:00:00,2024-07-01 04:00:00
52050090,2020-07-07 16:00:00,2024-07-01 04:00:00
52055090,2020-07-10 19:00:00,2024-07-01 04:00:00
52055150,2004-08-15 03:52:00,2023-03-17 04:00:00
52055160,2019-07-24 16:00:00,2020-05-05 02:00:00
52055210,2005-05-12 14:00:00,2023-02-22 18:00:00
52055220,2005-11-23 18:00:00,2023-03-17 04:00:00
52055230,2018-07-19 12:00:00,2024-07-01 04:00:00
53045040,2005-10-09 01:00:00,2023-03-17 04:00:00
53075020,2005-09-11 19:00:00,2020-12-24 10:00:00
54010010,2018-05-04 12:00:00,2024-07-01 04:00:00
54015010,2017-12-05 14:00:00,2021-04-06 03:00:00
54015020,2018-05-04 13:00:00,2024-07-01 04:00:00
54017040,2016-10-29 08:00:00,2016-10-29 08:00:00
54020020,2018-05-04 12:00:00,2024-07-01 04:00:00
54020090,2018-05-01 20:00:00,2024-07-01 04:00:00
54025010,2018-05-01 19:00:00,2024-07-01 04:00:00
54050010,2018-05-01 19:00:00,2024-07-01 04:00:00
54077210,2005-06-28 12:00:00,2020-05-10 00:00:00
55015020,2018-05-04 12:00:00,2020-01-20 04:00:00
56010040,2018-05-01 19:00:00,2019-08-18 12:00:00
56015010,2018-05-01 18:00:00,2024-07-01 04:00:00
56015040,2018-05-01 19:00:00,2019-11-01 15:00:00
56019010,2005-09-08 10:00:00,2008-07-17 07:00:00
56125730,2018-05-08 19:00:00,2020-09-24 09:00:00
57015010,2001-01-01 10:02:00,2020-09-24 10:14:00
57025020,2005-12-18 07:00:00,2024-04-16 15:00:00
88112901,2017-02-09 10:56:00,2018-02-13 14:00:00
1111500036,2016-12-22 15:00:00,2023-03-17 04:00:00
1117500060,2018-04-18 17:00:00,2020-08-09 14:00:00
1206500136,2018-09-19 17:00:00,2022-12-31 14:00:00
1303500074,2017-04-19 15:00:00,2023-03-17 04:00:00
1303500129,2016-12-29 13:00:00,2023-06-12 03:00:00
1501500054,2016-12-30 13:00:00,2022-03-09 04:00:00
1508500053,2017-05-01 17:00:00,2023-10-24 07:00:00
1509500118,2018-09-15 16:00:00,2023-03-17 04:00:00
1602500044,2017-06-29 12:00:00,2023-03-17 04:00:00
1602500063,2018-08-26 14:00:00,2023-03-17 04:00:00
1602500110,2017-12-28 18:00:00,2022-04-22 09:00:00
2119500111,2018-09-24 17:00:00,2023-10-24 07:00:00
2120500050,2018-03-17 16:00:00,2023-03-17 04:00:00
2120500135,2018-10-17 13:00:00,2023-03-17 04:00:00
2120500204,2024-04-02 14:00:00,2024-07-01 04:00:00
2120700162,2022-04-30 14:00:00,2022-04-30 14:00:00
2121500042,2017-12-17 14:00:00,2023-03-10 11:00:00
2121500048,2017-12-18 18:00:00,2021-05-12 12:00:00
2201500047,2018-04-15 15:00:00,2023-10-23 23:00:00
2202500051,2017-12-15 13:00:00,2021-06-18 01:00:00
2302500037,2017-12-12 17:00:00,2023-08-08 09:00:00
2302500064,2017-04-23 13:00:00,2023-03-17 04:00:00
2305500055,2017-04-24 17:00:00,2023-05-16 15:00:00
2306500106,2018-03-26 12:00:00,2023-03-17 04:00:00
2308500068,2016-12-23 17:37:00,2022-08-19 15:00:00
2308500071,2017-04-28 18:00:00,2023-03-17 04:00:00
2319500043,2018-04-11 14:00:00,2023-03-17 04:00:00
2319500125,2017-12-13 19:00:00,2023-03-17 04:00:00
2319500137,2018-08-25 16:00:00,2023-03-17 04:00:00
2401500040,2018-03-16 15:00:00,2023-03-17 04:00:00
2401500052,2017-10-31 01:07:00,2023-05-16 15:00:00
2401500080,2017-10-11 18:00:00,2023-03-17 04:00:00
2401500086,2018-04-06 16:00:00,2023-03-17 04:00:00
2403500041,2017-10-26 13:00:00,2023-05-16 15:00:00
2403500081,2017-10-25 15:00:00,2022-05-17 09:00:00
2403500082,2017-10-10 14:00:00,2023-03-17 04:00:00
2403500083,2017-10-12 16:00:00,2023-01-25 17:00:00
2403500084,2017-12-15 18:00:00,2023-03-17 04:00:00
2403500085,2017-10-27 10:32:00,2023-03-17 04:00:00
2501500120,2016-11-02 16:00:00,2023-06-20 15:00:00
2603500127,2017-06-16 15:00:00,2023-03-17 04:00:00
2604500039,2017-10-22 16:50:00,2023-03-17 03:00:00
2604500134,2017-04-27 17:00:00,2023-03-17 04:00:00
2610500131,2017-11-29 15:00:00,2021-06-18 01:00:00
2612500038,2017-07-05 19:00:00,2021-02-24 09:00:00
2612500124,2017-07-06 15:00:00,2023-03-17 04:00:00
2612500130,2019-07-23 16:00:00,2023-03-17 04:00:00
2612500210,2022-10-10 12:00:00,2023-09-11 19:00:00
2612500211,2022-10-10 12:00:00,2023-09-11 19:00:00
2612500212,2022-10-10 12:00:00,2023-09-11 19:00:00
2612500213,2022-10-10 12:00:00,2023-09-11 19:00:00
2612500214,2022-10-10 12:00:00,2023-09-11 19:00:00
2612500215,2022-10-10 12:00:00,2023-09-11 19:00:00
2613500126,2017-12-03 14:00:00,2023-03-17 04:00:00
2614500112,2017-06-02 15:00:00,2022-05-21 09:00:00
2614500116,2017-04-29 18:00:00,2023-03-17 04:00:00
2615500122,2017-05-15 17:00:00,2023-03-17 04:00:00
2621500070,2017-12-29 17:00:00,2021-01-10 21:00:00
2701500105,2017-01-23 17:00:00,2022-06-29 17:00:00
2702500107,2017-01-25 10:00:00,2023-03-17 04:00:00
2801500078,2017-02-15 15:00:00,2020-07-19 00:00:00
2802500079,2016-12-23 01:00:00,2023-03-17 04:00:00
2804500076,2017-04-29 16:00:00,2020-02-24 23:00:00
2805500075,2016-12-22 16:00:00,2022-12-13 17:00:00
2901500072,2016-12-27 16:00:00,2023-03-15 22:00:00
2906500077,2017-04-20 14:00:00,2023-03-19 01:00:00
3206500045,2019-03-05 22:00:00,2023-03-17 04:00:00
3206500058,2019-03-05 22:00:00,2023-03-17 04:00:00
3206500059,2019-03-05 22:00:00,2023-03-17 04:00:00
3503500062,2018-04-13 15:00:00,2023-03-17 04:00:00
3505500061,2017-12-29 13:00:00,2021-02-25 23:00:00
3507500046,2017-12-18 19:00:00,2023-03-17 04:00:00
3507500133,2017-10-11 12:00:00,2023-03-17 04:00:00
3518500127,2018-09-19 17:00:00,2023-03-17 04:00:00
3526500201,2021-02-18 12:00:00,2023-07-24 15:00:00
3701500114,2017-07-02 11:00:00,2023-03-17 04:00:00
3701500117,2017-07-03 14:00:00,2022-10-21 07:00:00
3702500113,2018-01-26 17:00:00,2021-08-02 03:00:00
3706500109,2018-09-21 18:00:00,2024-07-01 04:00:00
5102500128,2017-06-23 16:00:00,2022-11-17 20:00:00
5202500132,2017-04-29 18:00:00,2023-03-17 04:00:00
5205500123,2017-06-21 18:00:00,2021-06-24 09:00:00
5311500056,2017-12-28 19:00:00,2022-04-15 00:00:00
5311500121,2017-04-25 17:00:00,2023-03-17 04:00:00
5311500147,2020-03-10 09:00:10,2023-02-12 06:50:00
5311500149,2020-03-10 09:00:10,2024-03-05 08:30:00
